state,year,state_tax_per_pack,price_per_pack,pack_sales_per_capita
CA,2014,0.87,5.475,22.7
WV,2001,0.17,2.942,109.4
NY,2017,4.35,10.376,13.3
AR,1973,0.1775,0.455,108
IL,2014,1.98,7.248,33.6
AL,1990,0.165,1.444,108.6
NV,2008,0.8,4.028,61.9
MD,2008,2,5.526,43.3
GA,2005,0.37,3.483,70.2
IL,1985,0.12,1.084,121.6
IA,2003,0.36,3.332,85.4
OK,1996,0.23,1.72,110.8
LA,2009,0.36,4.513,82.6
PA,1980,0.18,0.648,124
TN,2015,0.62,4.993,62.2
PA,1985,0.18,1.049,115.8
WI,1989,0.3,1.511,100.3
NE,2005,0.64,3.648,61
TN,1984,0.13,0.925,125.1
WV,2019,1.2,6.237,75
AR,1987,0.21,1.199,122.3
KY,2018,0.6,5.678,81.6
DE,2001,0.24,3.171,141.4
WY,2007,0.6,3.74,83
KY,1985,0.03,0.854,182.4
TN,1976,0.13,0.496,121.7
AR,1991,0.21,1.773,116.8
IA,1980,0.13,0.614,124.6
MO,1970,0.09,0.368,121.3
ME,1972,0.14,0.41,136.5
IA,1996,0.36,1.893,94
IL,2000,0.58,3.238,70
AK,1989,0.16,1.702,94.4
TN,2007,0.2,3.738,107.4
ND,1996,0.44,1.941,80.8
MT,1983,0.12,0.913,113.7
MI,1971,0.11,0.4,126.1
KY,1974,0.03,0.333,212.4
WY,1993,0.12,1.474,108.4
SD,2006,0.53,3.499,69.2
PA,2010,1.6,5.655,57
MS,2014,0.68,5.151,61.2
NJ,2009,2.575,7.147,32.6
OH,1992,0.18,1.625,112.3
CO,1970,0.05,0.311,124.8
VA,2003,0.025,3.218,95.5
AK,1981,0.08,0.728,144
HI,2012,3.2,8.571,29.8
WV,1986,0.17,1.128,112.1
IN,1994,0.155,1.463,128.2
MA,1987,0.26,1.316,113.8
DE,2011,1.6,5.621,87.6
AR,1974,0.1775,0.486,109.7
WA,2003,1.425,4.661,40.1
VT,1981,0.12,0.668,163.8
IL,2010,0.98,5.884,44.1
IA,1987,0.26,1.242,101.1
CT,1987,0.26,1.297,109
AR,1979,0.1775,0.615,126.5
NM,1993,0.15,1.584,69
MS,1985,0.18,1.06,115.3
SD,1978,0.12,0.541,116.9
GA,1979,0.12,0.593,131
LA,1972,0.11,0.399,125.3
MD,1973,0.06,0.358,137.3
MI,1972,0.11,0.402,131.4
